port,date_departure
Nantes,",,"
Bordeaux,",,1837"
Nantes,"09,01,1830"
Nantes,"03,25,1830"
Nantes,"03,07,1830"
La Rochelle,"02,19,1831"
Nantes,"07,,1830"
Nantes,"08,17,1830"
Nantes,"08,31,1830"
Nantes,",,1830"
Nantes,"08,06,1830"
Bordeaux,"01,15,1830"
Nantes,"08,03,1829"
Nantes,"07,14,1830"
Nantes,"04,24,1830"
Nantes,"05,13,1830"
Nantes,"03,27,1830"
Nantes,"09,02,1830"
Nantes,"08,25,1830"
Nantes,"04,26,1830"
Nantes,"10,05,1830"
Nantes,"04,23,1829"
Nantes,"11,05,1829"
Nantes,"12,03,1828"
Nantes,"03,08,1829"
Nantes,"08,16,1829"
Nantes,"07,16,1829"
Nantes,"07,05,1829"
Nantes,",,1829"
Nantes,"07,28,1829"
Nantes,"08,02,1829"
Nantes,",,1829"
Nantes,"09,25,1828"
Nantes,",,1828"
Nantes,"11,09,1828"
Nantes,",,1826"
Nantes,"08,23,1826"
Nantes,"09,21,1826"
Nantes,"12,28,1826"
Nantes,"10,29,1827"
Nantes,"03,20,1827"
Nantes,"06,12,1827"
Nantes,"06,13,1827"
Nantes,"02,25,1827"
Nantes,"04,04,1827"
Nantes,"01,27,1827"
Nantes,"08,11,1825"
Nantes,"05,30,1825"
Nantes,"11,15,1825"
Nantes,"01,04,1826"
Nantes,"06,13,1825"
Bordeaux,"08,16,1825"
Bordeaux,",,"
Nantes,"09,27,1825"
Nantes,"12,24,1825"
Nantes,"10,12,1825"
Nantes,"08,19,1825"
Nantes,"02,12,1825"
Nantes,"07,02,1825"
Nantes,"07,13,1825"
Nantes,"06,10,1825"
Nantes,"08,19,1825"
Nantes,"12,27,1825"
Nantes,"07,03,1825"
Nantes,"02,26,1826"
Nantes,"09,07,1826"
Nantes,"12,12,1826"
Nantes,",,1826"
Nantes,"12,19,1826"
Nantes,"01,01,1825"
Nantes,"12,17,1826"
Nantes,"01,04,1826"
Nantes,",,1826"
Nantes,"01,24,1826"
Nantes,"12,22,1826"
Nantes,"08,12,1826"
Nantes,"10,18,1826"
Nantes,"09,29,1826"
Nantes,"09,16,1824"
Nantes,"11,09,1824"
Nantes,"07,08,1824"
Nantes,"08,08,1824"
Nantes,"02,11,1825"
Nantes,"04,07,1825"
Nantes,"02,11,1825"
Nantes,"02,22,1825"
Nantes,"02,24,1824"
Nantes,"09,29,1824"
Nantes,"06,10,1825"
Nantes,"06,12,1825"
Nantes,"03,28,1825"
Nantes,"06,23,1825"
Nantes,"02,22,1825"
Nantes,"03,26,1825"
Nantes,"06,11,1825"
Nantes,"11,14,1824"
Nantes,"09,23,1824"
La Rochelle,"11,17,1824"
Nantes,"12,10,1824"
Nantes,",,1824"
Nantes,"11,09,1824"
Nantes,"05,16,1824"
Nantes,"12,14,1824"
Nantes,"08,08,1824"
Nantes,"09,23,1824"
Nantes,"10,16,1824"
Nantes,"10,16,1824"
Nantes,",,1825"
Nantes,",,1825"
Nantes,"01,09,1825"
Nantes,"08,19,1825"
Nantes,"09,07,1825"
Nantes,"07,26,1825"
Nantes,"07,07,1825"
Nantes,"01,16,1825"
Nantes,"08,11,1825"
Nantes,"02,23,1825"
Nantes,"11,12,1825"
Nantes,"08,19,1825"
Nantes,"06,12,1825"
Nantes,"05,10,1825"
Nantes,"06,09,1825"
Nantes,"01,05,1825"
Nantes,"10,22,1825"
Nantes,",,1825"
Nantes,"03,31,1825"
Nantes,"10,05,1825"
Nantes,"07,22,1825"
Nantes,"04,19,1825"
Nantes,"09,05,1823"
Nantes,"08,21,1823"
Nantes,"06,10,1824"
Nantes,"06,05,1824"
Nantes,",,"
Nantes,",,"
Nantes,"10,22,1823"
Nantes,"02,,1824"
Nantes,"10,29,1823"
Nantes,"12,15,1823"
Nantes,"01,05,1824"
Nantes,"04,03,1823"
Nantes,"09,23,1824"
Bordeaux,"01,13,1824"
Nantes,"08,26,1824"
Nantes,"09,16,1824"
Nantes,"01,06,1824"
Nantes,"08,21,1823"
Nantes,"08,25,1824"
Nantes,"02,24,1824"
Nantes,"09,17,1824"
Nantes,"08,31,1824"
Nantes,"09,16,1824"
Nantes,"04,04,1824"
Nantes,"12,13,1824"
Nantes,"07,11,1824"
Nantes,"08,08,1824"
Nantes,"08,24,1824"
Nantes,"06,18,1824"
Nantes,"05,10,1824"
Nantes,"01,08,1824"
Nantes,"09,24,1824"
Nantes,",,1824"
Nantes,"07,11,1824"
Bordeaux,",,1824"
Nantes,"11,29,1824"
Nantes,"09,01,1822"
Nantes,"11,15,1823"
Nantes,"10,16,1823"
Nantes,"12,16,1823"
Nantes,"12,08,1823"
Nantes,"10,20,1823"
Nantes,"03,01,1823"
Nantes,"03,01,1823"
Nantes,"12,,1823"
Nantes,"09,01,1822"
Nantes,"10,22,1823"
Nantes,"12,02,1823"
Nantes,",,1823"
Nantes,"03,23,1823"
Nantes,"10,22,1823"
Nantes,"02,14,1823"
Nantes,"01,,1823"
Bordeaux,",,1823"
Nantes,"06,,1822"
Nantes,",,1823"
Nantes,"10,06,1821"
Nantes,"01,29,1822"
Nantes,"03,21,1822"
Nantes,"04,15,1822"
Nantes,"01,05,1822"
Nantes,"02,15,1822"
Nantes,"02,,1822"
Bordeaux,"04,20,1822"
Bordeaux,"06,24,1822"
Nantes,"03,27,1822"
Nantes,"05,30,1821"
Nantes,"10,13,1821"
Nantes,"08,,1821"
Nantes,"10,14,1821"
Nantes,"06,16,1821"
Nantes,"07,12,1821"
Nantes,"08,12,1821"
Nantes,"04,28,1821"
Nantes,",,1822"
Nantes,"08,24,1822"
Nantes,"01,01,1822"
Nantes,"01,05,1822"
Bordeaux,",,1822"
Bordeaux,"10,28,1822"
Nantes,"09,22,1822"
Bordeaux,"01,17,1822"
Nantes,",,1822"
Nantes,"05,05,1822"
Nantes,"06,03,1822"
Bordeaux,"11,30,1822"
Nantes,"11,06,1822"
Nantes,"03,26,1822"
Nantes,",,"
Nantes,"06,05,1822"
Bordeaux,"10,11,1822"
Nantes,"12,11,1822"
Nantes,",,1822"
Nantes,"12,10,1822"
Nantes,"01,19,1822"
Nantes,"01,05,1821"
Nantes,"11,30,1820"
Nantes,",,1820"
La Rochelle,"06,09,1820"
Nantes,"10,28,1820"
Bordeaux,"11,16,1820"
Nantes,"09,12,1820"
Nantes,"11,11,1820"
Nantes,"10,18,1820"
Nantes,",,1821"
Nantes,"05,10,1821"
Nantes,"09,26,1821"
Nantes,"08,17,1821"
Nantes,"01,19,1821"
Nantes,"08,22,1821"
Nantes,"02,07,1821"
Nantes,"07,11,1821"
Bordeaux,",,1821"
Nantes,"12,07,1821"
Bordeaux,",,1821"
Bordeaux,",,1821"
Nantes,"04,22,1821"
Nantes,"08,26,1821"
Nantes,"05,04,1821"
Nantes,"03,13,1821"
Nantes,"06,12,1821"
Bordeaux,",,1821"
Bordeaux,"07,17,1821"
Nantes,",,1821"
Nantes,",,1821"
Nantes,"07,18,1821"
Nantes,",,1821"
Nantes,"10,09,1821"
Nantes,"10,23,1818"
Nantes,"09,09,1819"
Nantes,"11,04,1819"
Nantes,"10,09,1819"
Nantes,"08,16,1819"
Nantes,"11,16,1819"
Nantes,"12,29,1819"
Nantes,"09,09,1819"
Nantes,"12,29,1819"
Bordeaux,"01,27,1819"
Nantes,"09,04,1820"
Bordeaux,"05,14,1820"
Nantes,"11,28,1820"
Nantes,"03,,1820"
Nantes,"06,29,1820"
Nantes,"09,01,1820"
Bordeaux,"05,13,1820"
Nantes,"01,01,1820"
Nantes,"09,06,1820"
Nantes,"02,18,1820"
Nantes,"08,19,1820"
Nantes,"01,,1820"
Bordeaux,"01,,1820"
Nantes,"10,11,1820"
Nantes,",,1820"
Bordeaux,",,1820"
Nantes,"09,24,1820"
Nantes,",,"
Nantes,"07,25,1819"
Bordeaux,",,1817"
Nantes,"11,19,1818"
Nantes,"05,05,1819"
Bordeaux,"01,08,1819"
Nantes,"03,18,1819"
Nantes,"06,03,1819"
Nantes,"06,17,1819"
Nantes,"04,15,1819"
Nantes,",,1819"
Bordeaux,"04,26,1819"
Nantes,",,1818"
Nantes,"09,15,1818"
Nantes,"11,25,1818"
Nantes,"04,09,1818"
Nantes,",,1818"
Nantes,"06,08,1818"
Bordeaux,"01,,1818"
Nantes,"10,21,1818"
Nantes,"08,08,1818"
Bordeaux,"01,10,1818"
Bordeaux,"03,26,1818"
Nantes,",,1818"
Bordeaux,"08,17,1818"
Nantes,"08,01,1817"
Nantes,"04,01,1815"
Nantes,"07,12,1816"
Nantes,"12,24,1817"
Nantes,"06,28,1817"
Nantes,"03,27,1817"
Nantes,"05,09,1817"
Bordeaux,"06,03,1817"
Nantes,",,1817"
Nantes,"08,21,1817"
Nantes,"02,15,1817"
Nantes,"11,08,1817"
Bordeaux,"07,05,1817"
Bordeaux,"10,16,1817"
Nantes,"01,30,1816"
Bordeaux,"06,14,1816"
Bordeaux,"12,15,1814"
Nantes,"02,26,1815"
Bordeaux,"02,10,1815"
Nantes,",,1815"
Nantes,"01,02,1815"
Nantes,"04,03,1815"
Nantes,",,1815"
Bordeaux,",,1814"
Nantes,"12,03,1814"
Bordeaux,"01,06,1804"
Bordeaux,",,"
Bordeaux,",,"
Bordeaux,"06,,1802"
Bordeaux,"06,05,1802"
Bordeaux,"06,18,1802"
Bordeaux,"07,13,1802"
Bordeaux,"07,27,1802"
Bordeaux,"07,,1802"
Bordeaux,"10,10,1802"
Bordeaux,"10,30,1802"
Bordeaux,"01,23,1803"
Bordeaux,"03,10,1803"
Bordeaux,"06,18,1802"
Bordeaux,"02,14,1803"
Nantes,"02,04,1803"
Rochefort,",,"
Nantes,",,"
Bordeaux,"08,02,1802"
Bordeaux,"06,,1802"
Bordeaux,",,1802"
Nantes,"03,11,1792"
Nantes,"01,27,1793"
Nantes,"04,29,1792"
Nantes,"08,06,1792"
Nantes,"08,08,1792"
Nantes,"08,21,1792"
Nantes,"09,07,1792"
Nantes,"10,02,1792"
Nantes,"10,26,1792"
Nantes,"10,26,1792"
Nantes,"11,29,1792"
Nantes,"01,14,1793"
Nantes,"01,15,1793"
Nantes,"01,16,1793"
Nantes,"01,17,1793"
Nantes,"01,29,1793"
Rochefort,"12,29,1791"
Bordeaux,"03,,1792"
Bordeaux,"05,11,1792"
Bordeaux,"08,01,1792"
Bordeaux,"09,27,1792"
Bordeaux,"11,08,1792"
La Rochelle,"04,26,1792"
Bordeaux,"12,27,1791"
Nantes,"12,29,1790"
Nantes,"04,10,1791"
Nantes,"04,11,1791"
Nantes,"04,14,1791"
Nantes,"04,15,1791"
Nantes,"04,28,1791"
Nantes,",,1791"
Nantes,"05,29,1791"
Nantes,"06,01,1791"
Nantes,"06,19,1791"
Nantes,"09,16,1791"
Nantes,"07,08,1791"
Nantes,"07,16,1791"
Nantes,"07,16,1791"
Nantes,"07,16,1791"
Nantes,"08,02,1791"
Nantes,"08,08,1791"
Nantes,"09,07,1791"
Nantes,"09,08,1791"
Nantes,"09,08,1791"
Nantes,"10,,1791"
Nantes,"10,26,1791"
Nantes,"10,29,1791"
Nantes,"01,03,1792"
Nantes,"01,06,1792"
Nantes,"01,08,1792"
Nantes,"01,03,1792"
Nantes,"07,09,1792"
Nantes,"12,,1792"
Nantes,"12,,1792"
Rochefort,"07,29,1791"
Bordeaux,"07,19,1790"
Bordeaux,"02,05,1791"
Bordeaux,"02,11,1791"
Bordeaux,"03,14,1791"
Bordeaux,"04,27,1791"
Bordeaux,"09,19,1791"
Bordeaux,"12,06,1791"
Bordeaux,"12,06,1791"
Bordeaux,"02,14,1792"
Bordeaux,"02,16,1792"
Bordeaux,"03,12,1792"
Bordeaux,"05,05,1792"
Bordeaux,"06,04,1792"
Bordeaux,"06,16,1792"
Bordeaux,"10,07,1792"
La Rochelle,"12,02,1790"
La Rochelle,"05,05,1791"
La Rochelle,"08,06,1791"
La Rochelle,"09,09,1791"
La Rochelle,"02,04,1792"
Nantes,"03,16,1790"
Nantes,"04,17,1790"
Nantes,"05,10,1790"
Nantes,"05,12,1790"
Nantes,"06,05,1790"
Nantes,"06,15,1790"
Nantes,"06,15,1790"
Nantes,"06,21,1790"
Nantes,"07,19,1790"
Nantes,"07,24,1790"
Nantes,"07,24,1790"
Nantes,"08,01,1790"
Nantes,"08,07,1790"
Nantes,"08,07,1790"
Nantes,"08,30,1790"
Nantes,"08,30,1790"
Nantes,"08,16,1790"
Nantes,"09,18,1790"
Nantes,"10,30,1790"
Nantes,"10,30,1790"
Nantes,"11,08,1790"
Nantes,"11,09,1790"
Nantes,"11,09,1790"
Nantes,"11,13,1790"
Nantes,"11,14,1790"
Nantes,"12,05,1790"
Nantes,"12,26,1790"
Nantes,"01,26,1791"
Nantes,"01,27,1791"
Nantes,"02,20,1791"
Nantes,"02,28,1791"
Nantes,"03,18,1791"
Nantes,"03,31,1791"
Nantes,"04,10,1791"
Nantes,"04,12,1791"
Nantes,"04,13,1791"
Nantes,"04,28,1791"
Nantes,"05,23,1791"
Nantes,"05,29,1791"
Nantes,"06,04,1791"
Rochefort,"11,19,1789"
Rochefort,"11,09,1790"
Bordeaux,"02,05,1791"
Bordeaux,"12,12,1788"
Bordeaux,"09,07,1789"
Bordeaux,"10,05,1789"
Bordeaux,"10,28,1789"
Bordeaux,"11,20,1789"
Bordeaux,"11,28,1789"
Bordeaux,"12,23,1789"
Bordeaux,"03,17,1790"
Bordeaux,"03,30,1790"
Bordeaux,"05,05,1790"
Bordeaux,"10,28,1790"
Bordeaux,"11,27,1790"
Bordeaux,"12,30,1790"
Bordeaux,"01,25,1791"
Bordeaux,"01,26,1791"
Bordeaux,"01,22,1791"
Bordeaux,"02,10,1791"
Bordeaux,"04,11,1791"
Bordeaux,"06,20,1791"
Bordeaux,"06,22,1791"
Bordeaux,"09,19,1791"
Bordeaux,"10,17,1791"
Bordeaux,"11,05,1791"
La Rochelle,"11,14,1789"
La Rochelle,"04,19,1790"
La Rochelle,"06,01,1790"
La Rochelle,"06,12,1790"
La Rochelle,"07,18,1790"
La Rochelle,"09,22,1790"
La Rochelle,"10,29,1790"
La Rochelle,"03,18,1791"
Nantes,"03,17,1789"
Nantes,"03,27,1789"
Nantes,"03,27,1789"
Nantes,"04,12,1789"
Nantes,"04,20,1789"
Nantes,"04,24,1789"
Nantes,"04,24,1789"
Nantes,"05,04,1789"
Nantes,"05,10,1789"
Nantes,"05,11,1789"
Nantes,"06,07,1789"
Nantes,"06,11,1789"
Nantes,"06,05,1789"
Nantes,"07,30,1789"
Nantes,"07,30,1789"
Nantes,"07,31,1789"
Nantes,"08,03,1789"
Nantes,"08,06,1789"
Nantes,"07,23,1789"
Nantes,"08,13,1789"
Nantes,"09,16,1789"
Nantes,"09,25,1789"
Nantes,"09,26,1789"
Nantes,"09,26,1789"
Nantes,"10,22,1789"
Nantes,"10,22,1789"
Nantes,"10,22,1789"
Nantes,"10,22,1789"
Nantes,"10,25,1789"
Nantes,"10,27,1789"
Nantes,"11,20,1789"
Nantes,"11,20,1789"
Nantes,"11,20,1789"
Nantes,"11,21,1789"
Nantes,"11,21,1789"
Nantes,"11,22,1789"
Nantes,"11,30,1789"
Nantes,"01,05,1790"
Nantes,"01,05,1790"
Nantes,"01,18,1790"
Nantes,"02,04,1790"
Nantes,"02,05,1790"
Nantes,"02,18,1790"
Nantes,"03,06,1790"
Nantes,"03,06,1790"
Nantes,"03,18,1790"
Nantes,"04,27,1790"
Nantes,"05,10,1790"
Nantes,"06,20,1790"
Nantes,"11,28,1790"
Rochefort,"01,01,1789"
Rochefort,"11,28,1789"
Rochefort,"03,09,1790"
Nantes,",,1790"
Bordeaux,"05,20,1788"
Bordeaux,"07,24,1788"
Bordeaux,"09,09,1788"
Bordeaux,"09,26,1788"
Bordeaux,"09,30,1788"
Bordeaux,"01,28,1789"
Bordeaux,"02,14,1789"
Bordeaux,"02,14,1789"
Bordeaux,"02,26,1789"
Bordeaux,"02,27,1789"
Bordeaux,"03,12,1789"
Bordeaux,"03,21,1789"
Bordeaux,"04,14,1789"
Bordeaux,"04,16,1789"
Bordeaux,"04,23,1789"
Bordeaux,"04,27,1789"
Bordeaux,"04,30,1789"
Bordeaux,"05,08,1789"
Bordeaux,"05,06,1789"
Bordeaux,"05,26,1789"
Bordeaux,"06,06,1789"
Bordeaux,"07,11,1789"
Bordeaux,"08,22,1789"
Bordeaux,"08,29,1789"
Bordeaux,"08,31,1789"
Bordeaux,"10,06,1789"
Bordeaux,"10,09,1789"
Bordeaux,"10,19,1789"
Bordeaux,"10,22,1789"
Bordeaux,"11,06,1789"
Bordeaux,"12,02,1789"
Bordeaux,"01,19,1790"
Bordeaux,"02,06,1790"
Bordeaux,"02,10,1790"
Bordeaux,"02,26,1790"
Bordeaux,"03,24,1790"
Bordeaux,"11,13,1790"
Bordeaux,"12,24,1790"
La Rochelle,"02,01,1789"
La Rochelle,"04,09,1789"
La Rochelle,"06,13,1789"
La Rochelle,"07,02,1789"
La Rochelle,"06,17,1789"
La Rochelle,"07,29,1789"
La Rochelle,"08,01,1789"
La Rochelle,"09,09,1789"
La Rochelle,"09,19,1789"
La Rochelle,"01,11,1790"
La Rochelle,"01,21,1790"
La Rochelle,"04,13,1790"
La Rochelle,"05,18,1790"
La Rochelle,"06,,1790"
La Rochelle,"06,24,1790"
Nantes,"12,26,1787"
Nantes,"01,12,1788"
Nantes,"04,05,1788"
Nantes,"04,06,1788"
Nantes,"04,06,1788"
Nantes,"05,14,1788"
Nantes,"05,27,1788"
Nantes,"06,21,1788"
Nantes,"07,18,1788"
Nantes,"07,21,1788"
Nantes,"08,21,1788"
Nantes,"07,31,1788"
Nantes,"09,03,1788"
Nantes,"09,06,1788"
Nantes,"09,06,1788"
Nantes,"10,10,1788"
Nantes,"10,14,1788"
Nantes,"10,22,1788"
Nantes,"10,28,1788"
Nantes,"10,31,1788"
Nantes,"10,31,1788"
Nantes,"11,02,1788"
Nantes,"11,06,1788"
Nantes,"11,08,1788"
Nantes,"11,14,1788"
Nantes,"11,22,1788"
Nantes,"03,01,1789"
Nantes,"03,08,1789"
Nantes,"03,06,1789"
Nantes,"04,12,1789"
Nantes,"05,10,1789"
Nantes,"05,10,1789"
Nantes,"06,13,1789"
Nantes,"08,09,1789"
Rochefort,"04,25,1788"
Bordeaux,"12,24,1789"
Bordeaux,"06,23,1786"
Bordeaux,",,1787"
Bordeaux,"03,29,1787"
Bordeaux,"08,17,1787"
Bordeaux,"11,28,1787"
Bordeaux,"01,10,1788"
Bordeaux,"02,13,1788"
Bordeaux,"03,01,1788"
Bordeaux,"03,06,1788"
Bordeaux,"04,09,1788"
Bordeaux,"04,11,1788"
Bordeaux,"07,04,1788"
Bordeaux,"07,18,1788"
Bordeaux,"09,01,1788"
Bordeaux,"11,30,1788"
Bordeaux,"12,17,1788"
Bordeaux,"01,27,1789"
Bordeaux,"04,24,1789"
Bordeaux,"05,11,1789"
La Rochelle,"12,28,1787"
La Rochelle,"03,10,1788"
La Rochelle,"07,21,1788"
La Rochelle,"10,20,1788"
La Rochelle,"12,12,1788"
La Rochelle,"12,31,1788"
Nantes,"10,24,1786"
Nantes,"11,02,1786"
Nantes,"12,26,1786"
Nantes,"01,06,1787"
Nantes,"01,09,1787"
Nantes,"02,21,1787"
Nantes,"03,14,1787"
Nantes,"03,14,1787"
Nantes,"04,02,1787"
Nantes,"04,09,1787"
Nantes,"05,19,1787"
Nantes,"06,08,1787"
Nantes,"06,30,1787"
Nantes,"07,02,1787"
Nantes,"08,02,1787"
Nantes,"08,21,1787"
Nantes,"08,22,1787"
Nantes,"09,01,1787"
Nantes,"09,11,1787"
Nantes,"09,11,1787"
Nantes,"09,20,1787"
Nantes,"09,23,1787"
Nantes,"11,21,1787"
Nantes,"12,26,1787"
Nantes,"12,27,1787"
Nantes,"03,11,1788"
Nantes,"04,16,1788"
Nantes,"05,14,1788"
Nantes,"05,21,1788"
Nantes,"06,04,1788"
Nantes,"07,20,1788"
Nantes,"07,20,1788"
Nantes,"08,28,1788"
Bordeaux,"03,02,1786"
Bordeaux,"10,10,1788"
Bordeaux,"09,11,1786"
Bordeaux,"11,23,1786"
Bordeaux,"12,04,1786"
Bordeaux,"12,06,1786"
Bordeaux,"01,18,1787"
Bordeaux,"02,16,1787"
Bordeaux,"02,,1787"
Bordeaux,"05,15,1787"
Bordeaux,"05,11,1787"
Bordeaux,"07,13,1787"
Bordeaux,"08,,1787"
Bordeaux,"10,,1787"
Bordeaux,"12,13,1787"
Bordeaux,"12,,1787"
Bordeaux,",,1787"
Bordeaux,"01,23,1788"
Bordeaux,"04,15,1788"
La Rochelle,"11,05,1786"
La Rochelle,"11,13,1786"
La Rochelle,"12,31,1786"
La Rochelle,"01,03,1787"
La Rochelle,"02,19,1787"
La Rochelle,"04,07,1787"
La Rochelle,"05,02,1787"
La Rochelle,"06,28,1787"
La Rochelle,"07,28,1787"
La Rochelle,"08,28,1787"
La Rochelle,"12,28,1787"
La Rochelle,"01,08,1788"
La Rochelle,"03,03,1788"
La Rochelle,"03,03,1788"
Nantes,"11,22,1785"
Nantes,"11,23,1785"
Nantes,"11,24,1785"
Nantes,"11,09,1785"
Nantes,"12,22,1785"
Nantes,"12,22,1785"
Nantes,"03,29,1786"
Nantes,"03,30,1786"
Nantes,"04,10,1786"
Nantes,"05,25,1786"
Nantes,"05,26,1786"
Nantes,"05,29,1786"
Nantes,"05,29,1786"
Nantes,"06,13,1786"
Nantes,"07,01,1786"
Nantes,"07,05,1786"
Nantes,"07,12,1786"
Nantes,"07,06,1786"
Nantes,"07,25,1786"
Nantes,"08,08,1786"
Nantes,"08,09,1786"
Nantes,"09,20,1786"
Nantes,"09,22,1786"
Nantes,"09,22,1786"
Nantes,"09,23,1786"
Nantes,"10,15,1786"
Nantes,"10,15,1786"
Nantes,"10,18,1786"
Nantes,"10,25,1786"
Nantes,"10,26,1786"
Nantes,"12,25,1786"
Nantes,"12,25,1786"
Nantes,"01,10,1787"
Nantes,"02,01,1787"
Nantes,"02,04,1787"
Nantes,"02,20,1787"
Nantes,"05,09,1787"
Nantes,"06,30,1787"
Rochefort,"04,13,1786"
Rochefort,"07,17,1786"
Rochefort,"07,17,1786"
Rochefort,"05,,1787"
Bordeaux,"08,28,1786"
Bordeaux,",,"
Bordeaux,"08,13,1785"
Bordeaux,"08,23,1785"
Bordeaux,"09,13,1785"
Bordeaux,"01,18,1786"
Bordeaux,"01,19,1786"
Bordeaux,"02,14,1786"
Bordeaux,"02,15,1786"
Bordeaux,"02,24,1786"
Bordeaux,"03,04,1786"
Bordeaux,"03,09,1786"
Bordeaux,"04,16,1786"
Bordeaux,"08,25,1786"
Bordeaux,"09,06,1786"
Bordeaux,"09,22,1786"
Bordeaux,"12,02,1786"
Bordeaux,"12,09,1786"
Bordeaux,"01,23,1787"
Bordeaux,"02,,1787"
Bordeaux,"04,,1787"
Bordeaux,"09,04,1787"
La Rochelle,"02,14,1786"
La Rochelle,"03,27,1786"
La Rochelle,"04,04,1786"
La Rochelle,"04,12,1786"
La Rochelle,"05,01,1786"
La Rochelle,"05,28,1786"
La Rochelle,"06,10,1786"
La Rochelle,"07,17,1786"
La Rochelle,"07,21,1786"
La Rochelle,"08,08,1786"
La Rochelle,"9,20,1786"
La Rochelle,"10,18,1786"
La Rochelle,"11,03,1786"
La Rochelle,"12,20,1786"
La Rochelle,"12,20,1786"
La Rochelle,"12,20,1786"
La Rochelle,"01,22,1787"
La Rochelle,"01,27,1787"
Bordeaux,"06,23,1786"
Nantes,"08,14,1784"
Nantes,"09,07,1784"
Nantes,"01,26,1785"
Nantes,"03,01,1785"
Nantes,"03,25,1785"
Nantes,"03,29,1785"
Nantes,"03,29,1785"
Nantes,"04,17,1785"
Nantes,"04,18,1785"
Nantes,"04,20,1785"
Nantes,"07,08,1785"
Nantes,"09,12,1785"
Nantes,"09,23,1785"
Nantes,"10,18,1785"
Nantes,"10,23,1785"
Nantes,"11,09,1785"
Nantes,"12,10,1785"
Nantes,"12,22,1785"
Nantes,"12,23,1785"
Nantes,"03,02,1786"
Nantes,"03,27,1786"
Nantes,"03,30,1786"
Nantes,"04,09,1786"
Nantes,"05,25,1786"
Nantes,"06,07,1785"
Nantes,"12,19,1786"
Nantes,"12,20,1786"
Rochefort,"07,08,1785"
Bordeaux,"02,11,1786"
Bordeaux,"05,01,1786"
Bordeaux,"12,14,1786"
Bordeaux,"10,01,1783"
Bordeaux,"11,06,1784"
Bordeaux,"05,13,1785"
Bordeaux,"05,14,1785"
Bordeaux,"07,25,1785"
Bordeaux,"08,23,1785"
Bordeaux,"09,30,1785"
Bordeaux,"10,15,1785"
Bordeaux,"01,10,1786"
Bordeaux,"01,12,1786"
Bordeaux,"02,14,1786"
La Rochelle,"10,,1784"
La Rochelle,"04,03,1785"
La Rochelle,"04,11,1785"
La Rochelle,"04,13,1785"
La Rochelle,"06,12,1785"
La Rochelle,"06,18,1785"
La Rochelle,"07,09,1785"
La Rochelle,"08,11,1785"
La Rochelle,"04,27,1785"
La Rochelle,"09,28,1785"
La Rochelle,"09,28,1785"
La Rochelle,"10,14,1785"
La Rochelle,"11,08,1785"
La Rochelle,"11,09,1785"
La Rochelle,"12,28,1785"
La Rochelle,"02,28,1786"
La Rochelle,"03,11,1786"
La Rochelle,"04,08,1786"
Nantes,"04,10,1783"
Nantes,"08,26,1783"
Nantes,"11,23,1783"
Nantes,"01,10,1784"
Nantes,"03,18,1784"
Nantes,"03,15,1784"
Nantes,"04,17,1784"
Nantes,"04,29,1784"
Nantes,"05,03,1784"
Nantes,"06,04,1784"
Nantes,"06,30,1784"
Nantes,"08,02,1784"
Nantes,"10,03,1784"
Nantes,"10,10,1784"
Nantes,"11,06,1784"
Nantes,"12,01,1784"
Nantes,"12,10,1784"
Nantes,"12,16,1784"
Nantes,"02,14,1785"
Nantes,"03,15,1785"
Nantes,"03,17,1785"
Nantes,"03,17,1785"
Nantes,"03,30,1785"
Nantes,"04,12,1785"
Nantes,"05,05,1785"
Nantes,"05,09,1785"
Nantes,"06,14,1785"
