year,count,value,kg,litre,nbr,sourceType,productClassification,partnerClassification,partner,product,kind,region,nb_region
1752,806,19547146.676436424,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1753,726,17274754.955260515,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1754,743,20361898.09920445,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1756,601,14507895.708337307,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1757,787,15827263.205867052,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1758,571,7892832.611276865,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1759,418,5914391.080592155,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1760,338,6173162.772107124,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1761,373,6125383.677073956,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1762,284,4152304.1163756847,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1764,191,8847346.41254139,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1765,448,11571509.988687038,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1766,373,12916548.03305006,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1767,413,12283463.324558258,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1768,337,14133178.021660805,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1769,324,10713790.447792053,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1770,387,10849680.553033829,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1771,362,10840840.43771553,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1772,385,16166496.67412281,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1773,375,27086761.898708344,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1774,406,21859271.819698334,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1775,355,21914111.169548035,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1776,352,25260613.432518005,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1778,296,16436976.747009277,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1779,223,8152645.977798462,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1780,213,7694879.277828217,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1789,1062,28750658.19916916,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1718,158,3147187.8648896217,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1719,210,4056697.3777275085,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1720,218,7899942.130615234,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1721,223,5219388.528229713,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1722,258,9453394.037468672,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1723,247,7982713.754463673,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1724,304,9191111.250400543,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1725,274,5593060.898985386,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1726,293,3150019.3115103245,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1727,294,6460560.3875107765,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1728,291,6381780.232915163,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1729,280,5067529.133532047,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1730,270,6106796.395495415,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1731,302,5353240.922924042,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1732,340,6179041.954520464,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1733,317,4642898.265668035,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1734,333,6258198.659152031,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1735,300,6014957.935337067,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1736,327,6826759.014907837,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1737,322,6236667.9100904465,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1738,337,7337047.696236372,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1739,337,8707137.361112118,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1740,335,9775962.175017357,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1741,300,7074108.8021354675,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1744,272,5592241.1752233505,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1746,264,9353646.013767242,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1747,279,11180400.71231842,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1748,236,8188965.9293437,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1749,419,10665812.886612177,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1750,373,11434237.197552681,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1751,442,8930031.675410986,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1752,399,9562134.84371519,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1753,347,8358230.413752794,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1754,346,10592659.231267363,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1756,314,7069464.791436672,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1757,409,7261098.020611048,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1758,262,2489366.120152712,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1759,302,2537916.18048954,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1760,211,2857492.649731636,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1761,232,1736264.4395890236,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1762,174,1657889.8285677433,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1764,191,8847346.41254139,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1765,215,4171057.232175827,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1766,189,4934124.959798813,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1767,202,6113870.071941376,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1768,162,7401081.641965866,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1769,163,4993416.519935608,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1770,164,4675885.097898483,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1771,144,5076204.043848038,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1772,147,6812748.544082642,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1773,144,10656918.013851166,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1774,175,10279879.916202545,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1775,152,10256685.816368103,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1776,150,9773015.356636047,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1778,107,8974251.519104004,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1779,122,4113823.077774048,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1780,113,3697571.195400238,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1789,489,13038149.546619415,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1718,278,4388812.094446752,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1719,252,6952335.502807617,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1720,268,9132197.637054443,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1721,187,7475036.712734222,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1722,224,7226748.837197304,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1723,249,7782610.050943375,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1724,195,7304637.250137329,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1725,191,5701942.750217438,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1726,277,4390767.105935097,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1727,223,6973375.613250732,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1728,250,7693141.499391556,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1729,278,6794519.332178116,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1730,244,6969422.709609032,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1731,227,6428419.43934536,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1732,219,7812545.150288582,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1733,239,6770122.224611282,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1734,322,7920905.833015442,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1735,333,8840366.127754211,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1736,309,7506131.060460091,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1737,389,6706919.896427155,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1738,424,8103241.925624371,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1739,361,7761203.161224365,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1740,322,9816831.887102127,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1741,322,9681607.183260918,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1744,325,5574171.995151341,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1746,395,11967682.31162262,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1747,312,36526428.43216896,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1748,272,14841840.055894852,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1749,386,12655644.441526413,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1750,495,9704932.313710093,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1751,395,11717272.121578217,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1752,407,9985011.832721233,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1753,379,8916524.541507721,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1754,397,9769238.867937088,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1756,287,7438430.916900635,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1757,378,8566165.185256004,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1758,309,5403466.491124153,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1759,116,3376474.9001026154,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1760,127,3315670.1223754883,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1761,141,4389119.237484932,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1762,110,2494414.2878079414,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1765,233,7400452.756511211,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1766,184,7982423.073251247,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1767,211,6169593.252616882,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1768,175,6732096.379694939,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1769,161,5720373.927856445,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1770,223,6173795.455135345,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1771,218,5764636.393867493,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1772,238,9353748.130040169,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1773,231,16429843.884857178,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1774,231,11579391.903495789,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1775,203,11657425.353179932,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1776,202,15487598.075881958,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1778,189,7462725.227905273,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1779,101,4038822.900024414,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1780,100,3997308.0824279785,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1789,573,15712508.652549744,0,0,0,Best Guess customs region product x partner,,,,,export,La_Rochelle,La Rochelle
1728,618,17488378.992535114,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1730,377,10994596.215964913,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1731,1159,31984867.475803137,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1732,1009,24796783.43348056,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1734,1126,30094291.147585392,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1735,1122,33177040.743272305,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1736,1093,30907823.57840824,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1737,1150,25297815.62183401,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1738,450,11174263.095489502,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1739,1193,67291105.60321102,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1740,1091,40152182.89767611,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1741,1303,58055396.1948492,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1742,1382,61059839.33163631,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1743,1323,40443761.580379486,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1744,1081,30708149.52186735,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1745,832,24058836.81832981,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1746,792,29253336.013816953,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1749,1183,44411069.5976246,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1750,1070,35756157.5615408,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1751,570,15755534.825126886,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1752,577,19488858.306901038,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1753,634,21939713.321348548,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1754,672,23458883.591883183,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1755,1109,30841541.42601168,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1756,587,16707043.050266266,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1757,237,4984994.264148608,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1758,304,6539151.790630341,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1759,256,7052664.169511795,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1760,367,6693610.977727175,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1761,566,12148698.19713211,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1762,509,5938902.350799322,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1763,1455,26764634.5979971,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1764,1744,42213765.62292349,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1765,1315,39633275.97494316,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1766,1130,100683009.73782891,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1767,1084,34526296.19054961,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1768,700,20807669.98472023,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1769,943,52252637.32377815,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1770,880,49078708.434361935,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1771,956,46403343.99074733,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1772,934,56438763.0598557,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1774,788,50732127.412621975,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1775,313,9274319.790298462,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1776,1102,52611798.467108294,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1778,2431,70481106.40731561,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1779,824,22056667.17515874,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1789,2040,105210443.46709251,0,0,0,Best Guess customs region product x partner,,,,,total,Nantes,Nantes
1730,377,10994596.215964913,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1731,367,11318221.855080128,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1732,309,6820224.075405896,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1734,394,9618373.125793219,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1735,342,10250929.624267101,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1736,400,12505869.77415657,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1737,476,13009782.373774737,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1738,450,11174263.095489502,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1739,429,40767844.70523104,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1740,412,15781864.560791492,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1741,496,36724337.93325219,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1742,545,39307931.97446346,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1743,541,22062463.088638306,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1744,481,14908209.771154001,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1745,314,8151658.056047916,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1746,333,8183454.382382214,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1749,531,23864124.470351517,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1750,496,19368854.387716487,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1755,534,15820236.707483888,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1756,292,7039868.768955708,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1758,141,3041718.785045624,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1759,140,3829024.1614551544,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1760,191,2325837.7275943756,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1761,316,2497940.9098193645,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1762,267,1557436.6544408798,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1763,533,12612316.600389391,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1764,549,18930459.15163076,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1765,416,16108269.947700977,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1766,380,17623089.957985878,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1767,371,15138961.644994259,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1769,347,25702283.348709106,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
1770,324,31402321.612890244,0,0,0,Best Guess customs region product x partner,,,,,import,Nantes,Nantes
