origin,origin_norm_ortho,nbr_occurence,province,state_1789_fr,substate_1789_fr,doutes,partner_balance_1789,partner_balance_supp_1789
,,542517,PRIORITAIRE,,,,,
?,?,3,,,,,,
(De renvoi),de renvoi,1,,,,,,
3 Evêchés,Trois-Évêchés,3,Lorraine,,,en simplifiant..,,
Acheté à Lisbonne en faisant route pour la côte d'or,Acheté à Lisbonne en faisant route pour la côte d'or,1,,Portugal,,,,
Aédon,Aédon,3,,,,???,,
Agen,Agen,3,Guyenne,France,,,,France
Agenois,Agenois,6,Guyenne,France,,,,France
Agénois,Agenois,1,Guyenne,France,,,,France
Aix,Aix,1,Provence,France,,,,France
Alençon,Alençon,7,Normandie,France,,,,France
Alep,Alep,2,,Empire ottoman,,,,Etranger
Aligre,Aligre,2,Aunis,France,,,,
Allemagne,Allemagne,15,,Multi-State,,,,
Alsace,Alsace,28,Alsace,France,,,,France
amienois,Amiénois,1,Picardie,France,,,,France
Amienois,Amiénois,103,Picardie,France,,,,France
Amiénois,Amiénois,307,Picardie,France,,,,France
Amiens,Amiens,190,Picardie,France,,,,France
Anger,Angers,2,Anjou,France,,,,France
Angers,Angers,19,Anjou,France,,,,France
Angers et Saumur,Angers et Saumur,3,Mixte (Anjou et Saumurois),France,,,,France
Angoulême,Angoulême,58,Angoumois,France,,,,France
Angoumoins,Angoumois,1,Angoumois,France,,,,France
Angoumois,Angoumois,115,Angoumois,France,,,,France
anjou,Anjou,8,Anjou,France,,,,France
Anjou,Anjou,202,Anjou,France,,,,France
Anjou et Comte nantais,Anjou et Comté de Nantes,3,Mixte (Anjou et Bretagne),France,,,,France
Anjou et Orleanais,Anjou et Orléanais,5,Mixte (Anjour et Orléanais),France,,,,France
Annonay,Annonay,1,Languedoc,France,,,,France
Arbois Franche comté,Arbois Franche comté,1,Franche-Comté,France,,doute: Artois ?,,France
Amérique,Amérique,4,,Multi-State,,colonies espagnoles d'Amérique;colonies britanniques d'Amérique;colonies françaises d'Amérique,,
Colonies Espagnoles,Colonies Espagnoles,5,,Espagne,colonies espagnoles d'Amérique,,Espagne,Etranger
Armagnac,Armagnac,3,Guyenne,France,,,,France
Artois,Artois,57,Artois,France,,,,France
Aubenas,Aubenas,1,,France,,Provence ou Languedoc ??,,France
Aubenton,Aubenton,1,,France,,Champagne ou Picardie ?,,France
Aulnay,Aulnay,11,,France,,lequel ? il y en a plusieurs,,France
Aunis,Aunis,144,Aunis,France,,,,France
Auvergne,Auvergne,63,Auvergne,France,,,,France
Aux Voyageurs,Aux Voyageurs,1,,,,???,,
Auxonne,Auxonne,1,Dauphiné,France,,,,
Avignon,Avignon,1,,Etats pontificaux,,Attention! PAS France,,
Baccarat,Baccarat,4,,Empire ottoman,,"??? en France, non ????",,Etranger
Barbarie,Barbarie,11,,Empire ottoman,,,,Etranger
Barrege,Barrege,1,Guyenne,France,,,,France
Barsac,Barsac,9,Guyenne,France,,,,France
Bas Bretagne,Basse Bretagne,1,Bretagne,France,,,,France
Bas Poitou,Bas Poitou,2,Poitou,France,,,,France
Baujolais,Baujolais,1,Lyonnais,France,,,,France
Colonies françaises de l'Amérique,Colonies françaises de l'Amérique,72,,France,colonies françaises d'Amérique,,,colonies françaises
Bearn,Béarn,203,Navarre-Béarn,France,,,,France
Béarn,Béarn,79,Navarre-Béarn,France,,,,France
Béarn et Languedoc,Béarn et Languedoc,1,MIXTE (Béarn et Languedoc),France,,,,France
Béarn la Guyenne,Béarn la Guyenne,3,MIXTE (Béarn et Guyenne),France,,,,France
Beauce,Beauce,4,Beauce,France,,,,France
Beaufort,Beaufort,1,,France,,,,France
Beaujolais,Beaujolais,38,,France,,,,France
Beaussird,Beaussird,1,,,,???,,
Beauvais,Beauvais,25,Ile de France,France,,,,France
Beauvoisin,Beauvoisin,1,,France,,,,France
Belesine,Belesine,1,,France,,,,France
Belle Isle,Belle-Île,1,Bretagne,France,,DOUTES,,France
Bernay,Bernay,2,,France,,,,France
Berri,Berry,28,Berry,France,,,,France
Berry,Berry,30,Berry,France,,,,France
Bidache,Bidache,3,,,,,,
Bigor,Bigorre,1,Guyenne,France,,,,France
Bigorre,Bigorre,21,Guyenne,France,,,,France
Colonie française,Colonies françaises,16,,France,,,,colonies françaises
Bolbec,Bolbec,3,,,,,,
Amérique espagnole,Amérique espagnole,4,,Espagne,colonies espagnoles d'Amérique,,Espagne,Etranger
Bordeaux Bourgogne,Bordeaux Bourgogne,2,MIXTE (Guyenne et Bourgogne),France,,,,France
Bordeaux Champagne,Bordeaux Champagne,1,MIXTE (Guyenne et Champagne),France,,,,France
Bordeaux d'Espagne,Bordeaux d'Espagne,1,,France,,DOUTES,,
Bordeaux et Provence,Bordeaux et Provence,5,MIXTE (Guyenne et Provence),France,,,,France
Bordeaux et Sault,Bordeaux et Sault,10,MIXTE,France,,,,France
Bordeaux Franche comté,Bordeaux Franche comté,2,MIXTE (Guyenne et Franceh-Comté),France,,,,France
Bordeaux Guyenne,Bordeaux Guyenne,1,Guyenne,France,,,,France
Bordeaux Languedoc,Bordeaux Languedoc,2,MIXTE (Guyenne et Languedoc),France,,,,France
Bouillon,Bouillon,3,,France,,,,France
Boulogne,Boulogne,9,Picardie,France,,,,France
Boulonais,Boulonais,39,Picardie,France,,,,France
Bourbonais,Bourbonnais,2,Bourbonnais,France,,,,France
Bourbonnais,Bourbonnais,2,Bourbonnais,France,,,,France
Bourbonnois,Bourbonnais,2,Bourbonnais,France,,,,France
Bourges,Bourges,1,,France,,,,France
Bourgogne,Bourgogne,157,Bourgogne,,,,,
Bournay,Bournay,1,,,,,,
Colonies,Colonies,1,,France,colonies françaises,,,colonies françaises
Brésil,Brésil,4,,Portugal,colonies portugaises en Amérique,,,
Bretagne,Bretagne,889,Bretagne,France,,,,France
Bretagne et Anjou,Anjou et Bretagne,5,MIXTE,France,,,,France
Bureau du roy,Bureau du roy,1,,France,,,,France
Cambraisis,Cambrésis,2,Cambrésis,France,,à priori à part ???,,France
Cambray,Cambrésis,1,Cambrésis,France,,à priori à part ???,,France
Cambresis,Cambrésis,1,Cambrésis,France,,à priori à part ???,,France
Cambrésis,Cambrésis,11,Cambrésis,France,,à priori à part ???,,France
Cap breton,Cap breton,5,,France,colonies françaises d'Amérique,"DOUTES C'est dans les Landes, non ????",,colonies françaises
Cap français,Cap français,2,,France,colonies françaises d'Amérique,DOUTES St Domingue,,colonies françaises
Cap françois,Cap français,1,,,,,,
Capbreton,Cap breton,3,,France,,,,France
Carcassonne,Carcassonne,24,,,,,,
Castillon,Castillon,21,,,,,,
Castres,Castres,3,,France,,,,France
Cette,Cette,13,Provence,France,,,,France
Chalons,Chalons,1,,,,,,
Chalosse,Chalosse,6,,,,,,
Champagne,Champagne,767,Champagne,France,,,,France
Charleville,Charleville,8,,France,,,,France
Chartres,Chartres,1,,France,,,,France
Chateaubriant,Châteaubriant,5,,France,,,,France
Chatellerault,Chatellerault,2,,France,,,,France
Cholet,Cholet,63,,,,,,
Clisson,Clisson,5,,,,,,
Cognac,Cognac,3,Saintonge,France,,,,France
Colmard,Colmard,1,,,,,,
Combourg,Combourg,6,,,,,,
Commerce français,Commerce français,16,,,,,,
Compagnie des Indes,Compagnie des Indes,2,,France,colonies françaises en Asie,,,colonies françaises
Barcelone,Barcelone,3,,Espagne,,,,
Cherboug,Cherbourg,8,Normandie,France,,,,France
Chine,Chine,13,,Chine,,,,
Brême,Brême,10,,Brême,,,,
Alicante,Alicante,1,,Espagne,,,,
Comté de Foix,Comté de Foix,15,,,,,,
Comte de Nantes,Comté de Nantes,11,,France,,,,France
Comte françois,Franche-comté,1,Franche-Comté,France,,,,France
Comte nantais,Comté de Nantes,24,Bretagne,,,,,
Cote rotie,Cote rotie,2,,France,,Lyonnais ?,,
Courtray,Courtray,3,,France,,,,France
Couserans,Couserans,1,,,,Foix ou Guyenne ?,,
Couseraus,Couserans,11,,,,Foix ou Guyenne ?,,
Cousserans,Couserans,1,,,,Foix ou Guyenne ?,,
Espagne,Espagne,46,,Espagne,,,Espagne,
Croisie,Croisie,1,,France,,Croisic???,,France
D'anjou,Anjou,1,Anjou,,,,,
D'Elbeuf,Elbœuf,2,Normandie,,,,,
Darnetal,Darnetal,1,Normandie,France,,,,
Dauphiné,Dauphiné,223,Dauphiné,France,,,,France
de Pays,du Pays,4,,France,,???,,
Isles Amerique,îles d'Amérique,2,,France,colonies françaises d'Amérique,,,colonies françaises
Idem (Angleterre),Angleterre,2,,Grande-Bretagne,Angleterre,,Angleterre,
Dol,Dol,1,,France,,c'est Dole en Bourgogne ? Dol de Bretagne?,,
du Mans,Le Mans,1,Maine,France,,,,France
du Pays,du Pays,20,,,,???,,
Dubui,Dubui,2,,,,???,,
Irlande et Angleterre,Irlande et Angleterre,5,,Grande-Bretagne,,,,
Duris,Duris,1,,,,???,,
Elbeuf,Elbœuf,4,Normandie,,,,,
Elboeuf,Elbœuf,7,Normandie,,,,,
Elbœuf,Elbœuf,22,Normandie,,,,,
Espagne et Portugal,Espagne et Portugal,1,,MIXTE,,,,
Etranger (de renvoi ),Étranger de renvoi,1,,MIXTE,,,,
Etranger (renvoi),Étranger de renvoi,1,,MIXTE,,,,
Eveches,Trois-Évêchés,3,Lorraine,,,en simplifiant..,,
Evêchés,Trois-Évêchés,2,Lorraine,,,en simplifiant..,,
Etanger,Étranger,3,,MIXTE,,,,Etranger
Ferol,Férol,2,,,,En Galice ou pays de la Loire ?,,
Férol,Férol,1,,,,En Galice ou pays de la Loire ?,,
Flandre,Flandres,657,Flandre,France,,,,France
Flandres,Flandres,347,Flandre,France,,,,France
Foire de Beaucaire,Foire de Beaucaire,85,Languedoc,,,,,
Forest,Forez,4,Lyonnais,,,,,
Foret,Forez,43,Lyonnais,,,,,
Forêt,Forez,45,Lyonnais,,,,,
Forêts,Forez,5,Lyonnais,,,,,
Forez,Forez,9,Lyonnais,,,,,
Fougères,Fougères,7,Bretagne,,,,,
Fozet,Forez,1,Lyonnais,,,,,
Franche comté,Franche-comté,345,Franche-comté,France,,,,
Franche-comté,Franche-comté,2,Franche-comté,France,,,,
Frontignan,Frontignan,2,Languedoc,,,,,
Galinois,Galinois,1,,,,???,,
Ganges,Ganges,6,,,,Gange en Inde ou Ganges en Languedoc?,,
Garonne,Garonne,1,Guyenne,France,,,,
Gascogne,Gascogne,3,Guyenne,France,,,,
Gensac en Guyenne,Guyenne,2,Guyenne,France,,,,
Gevaudan,Gevaudan,7,,,,,,
Givel,Givel,1,,,,???,,
Etranger,Étranger,286,,MIXTE,,,,Etranger
Gravel,Gravel,8,,,,Gravelines ??? La Gravelle?,,
Grenoble,Grenoble,2,Dauphiné,France,,,,
Gruyère,Gruyère,17,,,,???,,
Guyanne,Guyanne,30,,France,,doute: Guyenne ou Guyane,,
Guyenne,Guyenne,933,Guyenne,,,,,
"Guyenne, Langedoc, Lyon et Etranger","Guyenne, Langedoc, Lyon et Etranger",1,,MIXTE,,,,
hainault,Hainaut,1,Hainaut,France,,,,
Hainault,Hainaut,65,Hainaut,France,,,,
Hainaut,Hainaut,99,Hainaut,France,,,,
Hairault,Hainaut,4,Hainaut,France,,,,
Hairrault,Hainaut,2,Hainaut,France,,,,
Danemark,Danemark,4,,Danemark,,,Danemark,
L'Orient,Lorient,33,Bretagne,France,,,Lorient,France
Harlem,Harlem,3,,Provinces-Unies,,,,
Havane,La Havane,4,,Espagne,colonies espagnoles d'Amérique,,,
Etats-Unis de l'Amérique,Etats-Unis,4,,Etats-Unis,,,Etats-Unis,
Etats-Unis,Etats-Unis,22,,Etats-Unis,,,Etats-Unis,
Idem (Bretagne),Bretagne,6,Bretagne,,,,,
Inde Lorient,Inde Lorient,1,,,,DOUTE,,
Indes,Indes,140,,MIXTE,,,,
Indes espagnoles,Indes étrangères,9,,Espagne,colonies espagnoles d'Amérique,,,
Indes étrangères,Indes étrangères,9,,Espagne,colonies espagnoles d'Amérique,,,
Ingrandes,Ingrandes,6,,,,,,
Isle de Bourbon,Isle de Bourbon,2,,France,colonies françaises en Asie,,,
Isle de Ré,Île de Ré,5,Aunis,France,,,,
Isle de Rhé,Île de Ré,7,Aunis,France,,,,
Jouy,Jouy,3,,,,,,
L'aigle,L'aigle,3,Normandie,,,,,
La Marche,La Marche,1,Marche,France,,,,
Lamarche,La Marche,1,Marche,France,,,,
Langen,Langen,34,,Allemagne,,réfléchir à catégorie pour espace allemand!,,
étranger,Étranger,4,,MIXTE,,,,Etranger
Languedoc et Rouen,Languedoc et Rouen,2,MIXTE (Languedoc et Normandie),France,,,,
Laval,Laval,67,Maine,,,,,
Étranger,Étranger,627,,MIXTE,,,,Etranger
Le Maine,Maine,11,Maine,France,,,,
Le Mans,Le Mans,7,Maine,France,,,,
Le Perche,Le Perche,3,Perche,France,,,,
Le Puy,Le Puy,3,,,,lequel ?,,
Lemaine,Lemaine,3,,,,DOUTE: MAINE?,,
Etranger!!!!,Étranger,1,,MIXTE,,,,Etranger
Lille,Lille,144,Flandre,France,,,,
Lille et Flandres,Lille et Flandres,5,Flandre,France,,,,
Lisieux,Lisieux,7,Normandie,France,,,,
Lisle,Lisle,1,,,,Lille ?,,
Lanquedoc,Languedoc,9,Languedoc,France,,,,
Indes orientales,Indes orientales,47,,MIXTE,,,,
Croisic,Le Croisic,1,Bretagne,France,,,,
Gênes,Gênes,5,,République de Gênes,,,,
Gènes,Gênes,6,,République de Gênes,,,,
"Isle de Fra,ce",Île de France,1,Île-de-France,France,,,,France
Colonies francaises,Colonies françaises,4,,France,colonies françaises,,,colonies françaises
Colonies françaises,Colonies françaises,9,,France,colonies françaises,,,colonies françaises
Indes Cnie Française,Indes colonies françaises,5,,France,colonies françaises en Asie,,,colonies françaises
Inde colonie française,Indes colonies françaises,3,,France,colonies françaises en Asie,,,colonies françaises
Portugal,Portugal,4,,Portugal,,,Portugal,
Lorraine,Lorraine,21,Lorraine,France,,,,
Louvier,Louviers,12,Normandie,,,,,
Louviers,Louviers,32,Normandie,,,,,
Lyon,Lyon,838,Lyonnais,France,,,,
Lyonais,Lyonnais,4,Lyonnais,France,,,,
lyonnais,Lyonnais,19,Lyonnais,France,,,,
Lyonnais,Lyonnais,428,Lyonnais,France,,,,
Lyonois,Lyonnais,30,Lyonnais,France,,,,
Lyonoisois,Lyonnais,1,Lyonnais,France,,,,
Prusse,Prusse,4,,Prusse,,,Prusse,
maine,Maine,2,Maine,,,,,
Maine,Maine,79,Maine,,,,,
St Domingue,Saint-Domingue,16,Saint-Domingue,France,colonies françaises d'Amérique,,Saint-Domingue,
Mame,Mame,5,Champagne,,,doute,,
Mans,Le Mans,22,Maine,France,,,,
Marencin,Marencin,8,Guyenne,France,,,,
Marsan,Marsan,2,Guyenne,France,,,,
Marseille et Bordeaux,Bordeaux et Marseille,1,MIXTE (Guyenne et Provence-Port Franc),,,,,
Marseille et Hollande,Hollande et Marseille,2,,MIXTE,,,,
Martinique,La Martinique,1,,France,colonies françaises d'Amérique,,,
Mattre,Mattre,1,,,,???,,
Maubeuge,Maubeuge,1,,,,,,
Mayenne,Mayenne,7,Maine,,,,,
Médoc,Médoc,2,Guyenne,France,,,,
Miquelon,Miquelon,5,,France,colonies françaises d'Amérique,,,
Monarque,Monarque,1,,,,???,,
Mont-marsan,Mont-marsan,1,Guyenne,France,,,,
Montauban,Montauban,4,,France,,,,
Montpellier,Montpellier,29,Languedoc,France,,,,
Mouche,Mouche,1,,,,,,
Moulins,Moulins,1,,,,,,
Nancy,Nancy,1,Lorraine,France,,,,
Naus,Naus,1,,,,,,
Navarre,Navarre,32,Navarre-Béarn,France,,,,
Neufchâtel,Neufchâtel,2,,,,,,
Neutre Kaire,Neutre Kaire,5,,,,,,
Nevers,Nevers,18,Nivernais,,,,,
Iles Françaises,Îles françaises,1,,France,colonies françaises d'Amérique,,,colonies françaises
Nîmes,Nîmes,60,Languedoc,,,,,
Nismes,Nîmes,1,Languedoc,,,,,
Nivernais,Nivernais,14,Nivernais,,,,,
Nord,Nord,4,,,,???,,
Normadie,Normandie,2,Normandie,,,,,
Normandie,Normandie,910,Normandie,,,,,
Inde commerce français,Indes commerce français,1,,France,colonies françaises d'Asie,,,colonies françaises
Nuremberg,Nuremberg,1,,,,,,
Oncille,Oncille,3,,,,,,
Orange,Orange,6,,,,attention PAS France,,
Origine,Origine,3,,,,???,,
Orleanais,Orléanais,2,Orléanais,,,,,
Orléanais,Orléanais,11,Orléanais,,,,,
Orléanois,Orléanais,2,Orléanais,,,,,
Orleans,Orleans,6,Orléanais,,,,,
Orléans,Orleans,27,Orléanais,,,,,
Ornénoir,Ornénoir,1,,,,,,
Paix Haut,Pays haut,1,,,,,,
paris,Paris,1,Ile de France,France,,,,
Paris,Paris,764,Ile de France,France,,,,
Parmesan,Parmesan,1,,,,,,
Pays,Pays,3,,,,,,
Pays basques,Pays basque,3,,,,,,
Pays d'Auge,Pays d'Auge,1,,,,,,
Pays d'Aunis,Aunis,12,Aunis,,,,,
Pays de Basque,Pays basque,1,,,,,,
Pays de Basques,Pays basque,1,,,,,,
Pays de Caux,Pays de Caux,3,,,,,,
Pays de Liège,Pays de Liège,3,,,,,,
Pays des basques,Pays basque,2,,,,,,
Pays des Basques,Pays basque,53,,,,,,
Pays haut,Pays haut,23,,,,,,
Pêches françaises,Pêches françaises,17,,,,,,
Pêches Françaises,Pêches françaises,3,,,,,,
Perche,Le Perche,1,Perche,,,,,
Perigord,Périgord,2,Périgord,,,,,
Périgord,Périgord,8,Périgord,,,,,
Pérou,Pérou,1,,Espagne,colonies espagnoles d'Amérique,,,
Perse,Perse,7,,,,,,
Petesbourg,Petesbourg,4,,Russie,,,,
Petites Isles,Petites Isles,1,,,,,,
Pezenas,Pezenas,2,Languedoc,,,,,
Picardie,Picardie,122,Picardie,,,,,
Piémont,Piémont,4,,Royaume de Piémont-Sardaigne,,,,
Poitiers,Poitiers,1,,,,,,
Poitou,Poitou,107,Poitou,,,,,
Ponteau de mer,Ponteau de mer,1,,,,,,
Pontivy,Pontivy,4,Bretagne,,,,,
Pontoise,Pontoise,5,,,,,,
Pontorson,Pontorson,1,Normandie,,,,,
Port des barques,Port des barques,2,,,,,,
Port Vendre,Port Vendres,1,Roussillon,,,,,
Ports,Ports,1,,,,,,
Provence,Provence,932,Provence,,,,,
Quercy,Quercy,13,,,,,,
Querey,Quercy,1,,,,,,
Quintin,Quintin,5,Bretagne,,,,,
Rédon,Rédon,7,Bretagne,,,,,
Régie des poudres,Régie des poudres,1,,,,,,
Reims,Reims,35,,,,,,
Rennes,Rennes,32,Bretagne,,,,,
Rheims,Reims,1,Champagne,,,,,
Rhône,Rhône,5,,,,,,
Rima,Rima,2,,,,,,
Romans,Romans,3,,,,,,
Romilly,Romilly,3,,,,,,
Roquefort,Roquefort,3,,,,,,
Rota,Rota,2,,,,,,
Roubaix,Roubaix,1,Flandre,,,,,
Rouergue,Rouergue,26,,,,,,
Roussillon,Roussillon,60,Roussillon,,,,,
Royal,Royal,2,,,,,,
Ruffec,Ruffec,13,,,,,,
Saint-Mexant,Saint-Mexant,1,,,,,,
Saint-Quentin Picardie,Saint-Quentin Picardie,7,Picardie,,,,,
Salon,Salon,1,Provence,,,,,
Sanlis,Sanlis,2,,,,,,
Saumur,Saumur,19,Saumurois,,,,,
Sedan,Sedan,61,,,,,,
Sédan,Sedan,5,,,,,,
Senlis,Senlis,5,,,,,,
Sèvres,Sèvres,2,,,,,,
Silésie,Silésie,3,,Prusse,,,,
St Chaumont,Saint-Chaumont,3,,,,,,
St Clément,Saint-Clément,1,,,,,,
St Esprit,Saint-Esprit,21,Guyenne,France,,,,
St Cast,Saint-Cast,2,Bretagne,France,,,,
Saint-Cast,Saint-Cast,1,Bretagne,France,,,,
Riberon,Quiberon,1,Bretagne,France,,,,
St Esprit les Bayonne,Saint-Esprit les Bayonne,6,Guyenne,,,,,
St Etienne,Saint-Etienne,69,,,,,,
St George,Saint-George,2,,,,,,
St Hilaire,Saint-Hilaire,2,,,,,,
St Hypolite,Saint-Hyppolite,2,,,,,,
St Lô,Saint-Lô,6,,,,,,
St Quentin,Saint-Quentin,45,,,,,,
St Servan,Saint-Servan,3,Bretagne,,,,,
St Valeri,Saint-Valéry,1,,,,,,
St Valery,Saint-Valéry,2,,,,,,
St. Catherine,Sainte-Catherine,6,,,,,,
St. Quintin,Sainte-Quintin,1,,,,,,
Ste Foix,Sainte-Foix,6,,,,,,
Suisse,Suisse,8,,,,,,
Terre neuve,Terre-Neuve,22,,,,,,
Thiers,Thiers,1,,,,,,
Tonneins,Tonneins,1,,,,,,
Tonnerre,Tonnerre,3,,,,,,
Marseille,Marseille,1017,Provence,France,,,Marseille,
Toulouse,Toulouse,13,,,,,,
Touraine,Tourraine,46,Tourraine,,,,,
Tourrain,Tourraine,1,Tourraine,,,,,
Tourraine,Tourraine,21,Tourraine,,,,,
Tourraine et Anjou,Anjou et Tourraine,3,MIXTE (Anjou et Tourraine),,,,,
Tours,Tours,16,Tourraine,,,,,
Troye,Troyes,9,,,,,,
Troyes,Troyes,3,,,,,,
Suède,Suède,87,,Suède,,,Suède,
Utrecht,Utrecht,1,,Provinces-Unies,,,,
Utreck,Utrecht,1,,Provinces-Unies,,,,
Valay,Valay,2,,,,,,
Valencienne,Valenciennes,2,Cambrésis,,,,,
Valenciennes,Valenciennes,13,Cambrésis,,,,,
Valenciennes Hainaut,Valenciennes Hainaut,6,MIXTE (Cambrésis et Hainaut),,,,,
Velay,Velay,2,,,,,,
Verdun,Verdun,1,,,,,,
Versailles,Versailles,1,Ile de France,,,,,
Vibourg,Vibourg,1,,,,,,
Vichi,Vichy,3,,,,,,
Vichy,Vichy,1,,,,,,
villes hanséatiques,Villes Hanséatiques,2,,"Mixte (Hambourg, Lubeck, Brême et Dantzig)",,,,
Vimoutier,Vimoutiers,1,Normandie,,,,,
Vimoutiers,Vimoutiers,1,Normandie,,,,,
Vire,Vire,1,Normandie,,,,,
St. Domingue,Saint-Domingue,3,Saint-Domingue,France,colonies françaises d'Amérique,,Saint-Domingue,
Vitré,Vitré,3,Bretagne,,,,,
Vitrolles,Vitrolles,3,,,,,,
Vivarais,Vivarais,16,,,,,,
Voiron,Voiron,4,,,,,,
Wesphalie,Wesphalie,1,,,,,,
Ypres,Ypres,2,,Autriche,,,,
Ile française,Îles françaises,2,,France,colonies françaises,,,colonies françaises
France,France,61,,France,,,,France
Isle de France,Île de France,932,,France,,colonie ou région parisienne ???,,France
Isles de France,Île de France,108,,France,,colonie ou région parisienne ???,,France
Indes commerce français,Indes commerce français,73,,France,colonies françaises en Asie,,,colonies françaises
Isle françaises,Îles françaises,4,,France,colonies françaises en Amérique,,,colonies françaises
Isles,Îles françaises,49,,France,colonies françaises en Amérique,,,colonies françaises
Isles francaises,Îles françaises,1,,France,colonies françaises en Amérique,,,colonies françaises
Isles françaises,Îles françaises,11,,France,colonies françaises en Amérique,,,colonies françaises
Les isles francaises,Îles françaises,8,,France,colonies françaises en Amérique,,,colonies françaises
St Onge,Saintonge,2,Saintonge,France,,,,
St Malo,Saint-Malo,48,Bretagne,France,,,,
Coutances,Coutances,1,Normandie,France,,,,
Calais,Calais,1,Picardie,France,,,,
Narbonne,Narbonne,2,Languedoc,France,,,,
Argenton,Argenton,1,Bretagne,France,,,,
Morlaix,Morlaix,26,Bretagne,France,,,,
Mortagne,Mortagne,22,Saintonge,France,,,,
Bordeaux,Bordeaux,759,Guyenne,France,,,,
Rouen,Rouen,432,Normandie,France,,,,
Languedoc,Languedoc,1177,Languedoc,France,,,,
Arles,Arles,5,Provence,France,,,,
Marennes,Marennes,3,Saintonge,France,,,,
Agde,Agde,5,Languedoc,France,,,,
Fécamp,Fécamp,3,Normandie,France,,,,
Oléron,Oléron,6,Saintonge,France,,,,
Saintonge,Saintonge,93,Saintonge,France,,,,
Rochefort,Rochefort,28,Aunis,France,,,,
Nantes,Nantes,561,Bretagne,France,,,,
Honfleur,Honfleur,27,Normandie,France,,,,
La Rochelle,La Rochelle,33,Aunis,France,,,,
Granville,Granville,4,Normandie,France,,,,
Bayonne,Beaujolais,51,Guyenne,France,,,,
Saint Etienne,Saint-Etienne,2,Lyonnais,République de Gênes,,,,
Inde,Indes,5,,multi-Etat,,,,
Abbeville,Abbeville,59,Picardie,France,,,,
Toulon,Toulon,6,Provence,France,,,,
Cherbourg,Cherbourg,8,Normandie,France,,,,
Le Havre,Le Havre,136,Normandie,France,,,,
Brouage,Brouage,4,Saintonge,France,,,,
Dieppe,Dieppe,18,Normandie,France,,,,
Dinan,Dinan,14,Bretagne,France,,,,
Harfleur,Harfleur,2,Normandie,France,,,,
Charente,Charente,7,Aunis,France,,,,
Port Vendres,Port Vendres,1,Roussillon,France,,,,
Blaye,Blaye,1,Guyenne,France,,,,
Caen,Caen,8,Normandie,France,,,,
Dantzick,Dantzick,2,,Pologne,,"ville libre, non ?",Quatre villes hanséatiques,Etranger
Naples,Naples,37,,Royaume de Naples,,,,Etranger
Livourne,Livourne,7,,Toscane,,,,Etranger
Hambourg,Hambourg,61,,Hambourg,,,Quatre villes hanséatiques,Etranger
Lisbonne,Lisbonne,4,,Portugal,,,Portugal,Etranger
Malaga,Malaga,7,,Espagne,,,Espagne,Etranger
Italie,Italie,4,,multi-Etat,,,,
Nice,Nice,4,,Royaume de Piémont-Sardaigne,,,,
Bremen,Brême,1,,Brême,,,Quatre villes hanséatiques,Etranger
Levant,Levant,76,,Empire ottoman,,,,Etranger
Londres,Londres,4,,Grande-Bretagne,Angleterre,,,Etranger
Norvège,Norvège,12,,Danemark,Norvège,,Danemark,Etranger
Ostende,Ostende,56,,Autriche,Pays-Bas autrichiens,,,Etranger
Tunis,Tunis,2,,Empire ottoman,Régence de Tunis,,,Etranger
Terre Neuve,Terre-Neuve,1,,Grande-Bretagne,colonies britanniques d'Amérique,,,Etranger
Sicile,Sicile,5,,Royaume de Naples,Sicile,,,Etranger
Irlande,Irlande,68,,Grande-Bretagne,Irlande,,,Etranger
Virginie,Virginie,2,,Etats-Unis d'Amérique,Virginie,,,Etranger
Sardaigne,Sardaigne,4,,Royaume de Piémont-Sardaigne,Sardaigne,,,Etranger
Saint Pierre et Miquelon,Saint Pierre et Miquelon,6,Canada,France,colonies françaises d'Amérique,,,
Madère,Madère,1,,Portugal,îles atlantiques portugaises,,Portugal,Etranger
Philadelphie,Philadelphie,1,,Etats-Unis d'Amérique,Pennsylvanie,,,Etranger
Caroline,Caroline,2,,Etats-Unis d'Amérique,,Caroline du Nord;Caroline du Sud,,Etranger
Angleterre,Angleterre,452,,Grande-Bretagne,Angleterre,,Angleterre,
Lorient,Lorient,52,Bretagne,France,,,Lorient,France
Dunkerque,Dunkerque,86,Flandre,France,,,Dunkerque,France
Russie,Russie,42,,Russie,,,Russie,Etranger
Hollande,Hollande,333,,Provinces-Unies,Hollande,,Hollande,Etranger
Ile de France,Île de France,3,Île-de-France,France,,doute! colonie ou région parisienne ????,,France