customs_office,cumulated_exports_value_from_region,cumulated_exports_value_from_ext,nb_toflit_flows_taken_into_account
Sables d' Olonne,108379.00005,2148.0,26
La Rochelle,320999.62899,6718020.55,333
Rochefort,271247.216,2926.0,16
Marennes,900590.5355199998,2420.3518,50
Le Havre,2211500.0,35324232.0,1123
Saint Martin de R̩,582453.2410399999,39574.230030000006,49
Bordeaux,29592078.048586,99738942.16928202,2154
Aligre de Marans,886293.0719,2115.0,59
Charente,5875341.900699999,0,40
Nantes,5712318.205488,38466140.210227996,1263
